,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Dedé,27.2,20,7,38,14,3,7,4,7,3,3,3,2,5,2,1,0,3,2,2,0,14
1,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Jefferson,30.4,19,7,37,13,1,6,6,7,4,5,1,6,7,1,0,1,4,3,3,0,17
2,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Laws,29.0,12,5,17,6,0,1,5,5,2,4,0,0,0,1,2,0,2,2,1,0,9
3,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Erick,13.9,7,1,10,2,0,0,1,2,5,6,0,1,1,0,0,1,2,3,1,0,5
4,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Calvo,12.5,7,2,20,7,1,4,1,3,2,2,1,1,2,2,1,0,2,1,0,0,7
5,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Icaro,9.4,6,2,7,2,1,1,1,1,1,2,0,0,0,1,0,0,3,1,0,0,3
6,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Fúlvio,21.3,6,2,8,3,2,2,0,1,0,0,0,3,3,9,0,0,2,1,1,0,4
7,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Murilo,26.1,5,2,15,5,0,1,2,4,1,4,0,5,5,2,2,0,4,4,1,0,8
8,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Luiz Felipe,20.7,4,2,10,4,0,2,2,2,0,0,0,1,1,5,1,1,2,1,0,0,4
9,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Chico,9.6,3,1,8,3,1,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,3
10,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Gabriel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Chandler,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,São José,Suzano,04/03/2013 19:00,26ª RODADA,2º TURNO,casa,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Jefferson,40.0,22,6,57,19,2,9,4,10,8,10,1,4,5,4,1,0,1,8,5,0,27
1,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Paulo Nery,40.0,21,9,40,17,3,6,6,11,0,0,3,4,7,3,0,1,4,3,2,0,16
2,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Nilson,13.6,13,6,16,7,0,0,6,7,1,2,2,0,2,0,0,0,2,2,0,1,6
3,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Eric,37.5,8,2,26,9,1,4,1,5,3,4,1,4,5,1,0,1,1,3,2,0,12
4,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,João Felipe,25.7,7,2,9,3,1,1,1,2,2,2,2,4,6,0,0,0,1,3,2,0,4
5,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Rafa Moreira,16.8,3,1,12,5,1,2,0,3,0,0,0,0,0,2,0,0,4,2,0,0,5
6,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Sebastião,21.4,0,0,4,2,0,0,0,2,0,0,0,2,2,0,0,0,4,0,1,0,3
7,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Igor Tracci,5.0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1
8,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Quintiliano,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Andrezinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Lucas Miranda,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Dedé,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,Suzano,São José,04/03/2013 19:00,26ª RODADA,2º TURNO,fora,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
