,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Alex Garcia,35.6,22,7,37,12,3,7,4,5,5,6,0,5,5,5,2,0,2,7,3,0,17
1,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Giovannoni,33.7,20,8,47,18,2,8,6,10,2,3,2,11,13,4,2,1,2,5,4,0,21
2,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Arthur,31.4,12,4,24,9,2,4,2,5,2,2,0,1,1,2,0,0,4,2,3,0,13
3,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Isaac,18.0,9,4,21,9,1,3,3,6,0,0,2,2,4,0,0,0,1,0,0,0,7
4,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Ronald,14.6,8,2,12,4,0,0,2,4,4,4,4,5,9,0,0,3,1,2,2,0,4
5,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Cipriano,18.3,6,3,13,6,0,1,3,5,0,0,6,3,9,1,1,0,4,2,0,0,0
6,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Rossi,15.7,6,2,9,3,2,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3
7,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Ismar,17.7,3,1,10,3,0,2,1,1,1,2,2,3,5,3,2,0,1,1,5,0,7
8,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Vitor Pantoja,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Alírio,9.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,4,0,0,0,0
10,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Pureza,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
11,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Bala,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,Brasília,L. Sorocabana,21/01/2013 19:30,6ª RODADA,1º TURNO,casa,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2012,L. Sorocabana,Brasília,21/01/2013 19:30,6ª RODADA,1º TURNO,fora,vitória,0,Holloway,37.6,28,8,55,17,2,6,6,11,10,15,1,2,3,2,3,0,1,9,0,0,22
1,2012,L. Sorocabana,Brasília,21/01/2013 19:30,6ª RODADA,1º TURNO,fora,vitória,0,Dawkins,34.1,21,7,43,16,5,8,2,8,2,3,1,0,1,7,4,0,1,5,5,0,21
2,2012,L. Sorocabana,Brasília,21/01/2013 19:30,6ª RODADA,1º TURNO,fora,vitória,0,Neto,32.1,9,4,38,16,1,6,3,10,0,0,0,3,3,0,2,0,3,1,1,0,17
3,2012,L. Sorocabana,Brasília,21/01/2013 19:30,6ª RODADA,1º TURNO,fora,vitória,0,Adyb,28.3,8,4,19,9,0,1,4,8,0,0,6,0,6,1,1,0,3,0,1,2,4
4,2012,L. Sorocabana,Brasília,21/01/2013 19:30,6ª RODADA,1º TURNO,fora,vitória,0,Luciano,26.2,4,1,17,5,1,5,0,0,1,2,0,4,4,0,3,1,3,2,1,0,7
5,2012,L. Sorocabana,Brasília,21/01/2013 19:30,6ª RODADA,1º TURNO,fora,vitória,0,Diego,18.0,2,0,5,1,0,1,0,0,2,2,0,0,0,2,0,0,2,1,0,0,2
6,2012,L. Sorocabana,Brasília,21/01/2013 19:30,6ª RODADA,1º TURNO,fora,vitória,0,De Bem,17.8,2,1,12,6,0,0,1,6,0,0,1,5,6,0,1,0,5,1,2,0,7
7,2012,L. Sorocabana,Brasília,21/01/2013 19:30,6ª RODADA,1º TURNO,fora,vitória,0,Vinicius Lima,6.1,1,0,2,0,0,0,0,0,1,2,1,1,2,0,0,0,2,1,0,0,0
8,2012,L. Sorocabana,Brasília,21/01/2013 19:30,6ª RODADA,1º TURNO,fora,vitória,0,Marcos,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,L. Sorocabana,Brasília,21/01/2013 19:30,6ª RODADA,1º TURNO,fora,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
