,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Carter,28.2,18,7,25,10,4,5,3,5,0,0,0,2,2,1,1,0,3,1,1,0,11
1,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Fernando,24.2,13,5,28,11,0,3,5,8,3,3,1,2,3,2,2,0,4,4,0,0,11
2,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Diego,34.1,13,5,22,8,2,4,3,4,1,2,0,2,2,6,2,0,3,1,5,0,14
3,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Ramon,28.9,11,4,26,10,1,4,3,6,2,2,1,1,2,2,1,0,4,2,4,0,14
4,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Matheus Dalla,15.3,11,3,20,6,2,4,1,2,3,4,0,2,2,0,0,0,1,4,0,0,8
5,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Hélio,22.4,6,2,13,5,0,1,2,4,2,2,0,2,2,6,0,0,4,1,2,0,8
6,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Alemão,19.1,5,2,14,6,0,0,2,6,1,2,3,5,8,3,1,2,3,2,1,0,5
7,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Hubner,20.8,4,2,6,3,0,0,2,3,0,0,0,1,1,0,1,0,3,1,2,0,5
8,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Leandro Silva,7.1,1,0,5,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2
9,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Du Sommer,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Matheus P.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Lucas M.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,Limeira,Bauru,07/01/2013 20:00,12ª RODADA,1º TURNO,casa,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Detrick,28.3,17,5,30,10,3,6,2,4,4,4,0,1,1,0,1,0,1,5,2,0,14
1,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Coleman,17.8,14,5,23,7,0,0,5,7,4,9,3,4,7,1,1,0,2,4,1,1,9
2,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Pilar,17.2,13,5,20,8,2,3,3,5,1,1,2,2,4,2,1,2,4,3,3,0,9
3,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Jeff,27.4,12,5,22,10,0,0,5,10,2,2,3,5,8,2,0,1,2,2,2,0,10
4,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Fischer,27.5,8,2,21,7,1,3,1,4,3,4,1,3,4,10,1,0,3,5,3,0,11
5,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Gui Deodato,26.3,8,3,16,6,2,4,1,2,0,0,0,1,1,3,1,0,1,1,3,1,9
6,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Larry Taylor,35.9,7,3,21,8,0,2,3,6,1,3,2,5,7,2,0,0,3,4,4,0,11
7,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Mosso,3.9,3,1,6,2,1,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2
8,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Sidão,12.4,2,1,6,3,0,0,1,3,0,0,1,1,2,2,0,0,1,1,2,1,4
9,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Nandão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Andrezão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Lucas,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,Bauru,Limeira,07/01/2013 20:00,12ª RODADA,1º TURNO,fora,vitória,0,Equipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
